Effect1,Effect2,Effect3,Effect4,Effect5,CAUSE
9,67,73,111,144,2
9,67,147,149,150,4
67,73,111,149,150,4
9,67,73,146,149,2
9,67,111,144,150,4
9,111,147,149,150,2
67,73,111,145,146,2
111,144,145,146,147,4
145,146,147,149,150,4
9,67,73,149,150,2
9,67,73,111,144,2
9,67,147,149,150,4
67,73,111,149,150,4
9,67,73,146,149,2
9,67,111,144,150,4
9,111,147,149,150,2
67,73,111,145,146,2
111,144,145,146,147,4
145,146,147,149,150,4
9,67,73,149,150,2
9,67,73,111,144,2
9,67,147,149,150,4
67,73,111,149,150,4
9,67,73,146,149,2
9,67,111,144,150,4
9,111,147,149,150,2
67,73,111,145,146,2
111,144,145,146,147,4
145,146,147,149,150,4
9,67,73,149,150,2
9,67,73,111,144,2
9,67,147,149,150,4
67,73,111,149,150,4
9,67,73,146,149,2
9,67,111,144,150,4
9,111,147,149,150,2
67,73,111,145,146,2
111,144,145,146,147,4
145,146,147,149,150,4
9,67,73,149,150,2
9,67,73,111,144,2
9,67,147,149,150,4
67,73,111,149,150,4
9,67,73,146,149,2
9,67,111,144,150,4
9,111,147,149,150,2
67,73,111,145,146,2
111,144,145,146,147,4
145,146,147,149,150,4
9,67,73,149,150,2
9,67,73,111,144,2
9,67,147,149,150,4
67,73,111,149,150,4
9,67,73,146,149,2
9,67,111,144,150,4
9,111,147,149,150,2
67,73,111,145,146,2
111,144,145,146,147,4
145,146,147,149,150,4
9,67,73,149,150,2
9,67,73,111,144,2
9,67,147,149,150,4
67,73,111,149,150,4
9,67,73,146,149,2
9,67,111,144,150,4
9,111,147,149,150,2
67,73,111,145,146,2
111,144,145,146,147,4
145,146,147,149,150,4
9,67,73,149,150,2
9,67,73,111,144,2
9,67,147,149,150,4
67,73,111,149,150,4
9,67,73,146,149,2
9,67,111,144,150,4
9,111,147,149,150,2
67,73,111,145,146,2
111,144,145,146,147,4
145,146,147,149,150,4
9,67,73,149,150,2
9,67,73,111,144,2
9,67,147,149,150,4
67,73,111,149,150,4
9,67,73,146,149,2
9,67,111,144,150,4
9,111,147,149,150,2
67,73,111,145,146,2
111,144,145,146,147,4
145,146,147,149,150,4
9,67,73,149,150,2
9,67,73,111,144,2
9,67,147,149,150,4
67,73,111,149,150,4
9,67,73,146,149,2
9,67,111,144,150,4
9,111,147,149,150,2
67,73,111,145,146,2
111,144,145,146,147,4
145,146,147,149,150,4
9,67,73,149,150,2
9,67,73,111,144,2
9,67,147,149,150,4
67,73,111,149,150,4
9,67,73,146,149,2
9,67,111,144,150,4
9,111,147,149,150,2
67,73,111,145,146,2
111,144,145,146,147,4
145,146,147,149,150,4
9,67,73,149,150,2
9,67,73,111,144,2
9,67,147,149,150,4
67,73,111,149,150,4
9,67,73,146,149,2
9,67,111,144,150,4
9,111,147,149,150,2
67,73,111,145,146,2
111,144,145,146,147,4
145,146,147,149,150,4
9,67,73,149,150,2
